Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2014","Lyme disease, Cum 2014, flag","Lyme disease, Cum 2013","Lyme disease, Cum 2013, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2014","Malaria, Cum 2014, flag","Malaria, Cum 2013","Malaria, Cum 2013, flag","Meningococcal disease, invasive†, All serogroups, Current week","Meningococcal disease, invasive†, All serogroups, Current week, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive†, All serogroups, Cum 2014","Meningococcal disease, invasive†, All serogroups, Cum 2014, flag","Meningococcal disease, invasive†, All serogroups, Cum 2013","Meningococcal disease, invasive†, All serogroups, Cum 2013, flag",Location 1,Location 2
SOUTH DAKOTA,2014,38,,-,0,,1,,2,,4,,,-,0,,1,,2,,7,,,-,0,,1,,2,,4,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
S. ATLANTIC,2014,38,42,,46,,309,,2133,,2426,,7,,7,,16,,312,,315,,1,,1,,6,,66,,78,,,
DELAWARE,2014,38,6,,8,,24,,330,,389,,,-,0,,1,,2,,9,,,-,0,,1,,1,,2,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
DIST. OF COL.,2014,38,,-,0,,4,,13,,25,,,-,0,,2,,3,,12,,,-,0,,0,,,-,,-,"DIST. OF COL.
",
FLORIDA,2014,38,6,,2,,13,,101,,100,,,-,1,,4,,40,,42,,1,,1,,3,,32,,44,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
GEORGIA,2014,38,,-,0,,3,,3,,6,,,-,1,,5,,69,,54,,,-,0,,2,,10,,10,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
MARYLAND,2014,38,21,,15,,60,,746,,947,,7,,2,,8,,110,,115,,,-,0,,1,,4,,3,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
NORTH CAROLINA,2014,38,,-,0,,27,,65,,114,,,-,0,,7,,25,,16,,,-,0,,3,,11,,10,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
SOUTH CAROLINA,2014,38,,-,1,,5,,22,,26,,,-,0,,1,,4,,8,,,-,0,,1,,2,,2,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
VIRGINIA,2014,38,8,,16,,267,,758,,701,,,-,1,,5,,57,,58,,,-,0,,2,,6,,5,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
WEST VIRGINIA,2014,38,1,,2,,13,,95,,118,,,-,0,,1,,2,,1,,,-,0,,0,,,-,2,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
E.S. CENTRAL,2014,38,,-,2,,11,,106,,65,,,-,1,,5,,36,,29,,,-,0,,2,,14,,9,,,
ALABAMA,2014,38,,-,0,,7,,49,,22,,,-,0,,3,,10,,2,,,-,0,,1,,5,,2,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
KENTUCKY,2014,38,,-,0,,5,,39,,31,,,-,0,,2,,9,,9,,,-,0,,1,,2,,1,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
MISSISSIPPI,2014,38,,-,0,,0,,,-,,-,,-,0,,1,,1,,3,,,-,0,,1,,1,,3,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
TENNESSEE,2014,38,,-,0,,4,,18,,12,,,-,0,,2,,16,,15,,,-,0,,1,,6,,3,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
W.S. CENTRAL,2014,38,,-,0,,13,,19,,56,,,-,1,,21,,66,,77,,,-,1,,6,,31,,44,,,
ARKANSAS,2014,38,,-,0,,0,,,-,,-,,-,0,,1,,2,,1,,,-,0,,1,,1,,5,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
LOUISIANA,2014,38,,-,0,,1,,2,,,-,,-,0,,1,,11,,8,,,-,0,,2,,6,,11,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
OKLAHOMA,2014,38,,-,0,,2,,,-,1,,,-,0,,2,,3,,10,,,-,0,,2,,7,,6,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
TEXAS,2014,38,,-,0,,11,,17,,55,,,-,1,,19,,50,,58,,,-,0,,5,,17,,22,,"TEXAS
(31.827240712000446, -99.4267664729997)",
MOUNTAIN,2014,38,,-,1,,7,,40,,79,,,-,1,,6,,39,,72,,,-,0,,3,,21,,31,,,
ARIZONA,2014,38,,-,0,,5,,16,,22,,,-,0,,3,,18,,27,,,-,0,,2,,9,,10,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
COLORADO,2014,38,,-,0,,0,,,-,,-,,-,0,,3,,7,,28,,,-,0,,1,,1,,6,,"COLORADO
(38.84384201300048, -106.13360888799969)",
IDAHO,2014,38,,-,0,,1,,7,,14,,,-,0,,1,,2,,3,,,-,0,,1,,2,,4,,"IDAHO
(43.68263160000049, -114.3637261449997)",
MONTANA,2014,38,,-,0,,2,,6,,12,,,-,0,,1,,2,,,-,,-,0,,1,,4,,,-,"MONTANA
(47.06652759400049, -109.42441687999968)",
NEVADA,2014,38,,-,0,,2,,6,,8,,,-,0,,2,,7,,7,,,-,0,,1,,2,,1,,"NEVADA
(39.493242807000456, -117.07183978499972)",
NEW MEXICO,2014,38,,-,0,,1,,,-,5,,,-,0,,1,,1,,1,,,-,0,,1,,2,,1,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
UTAH,2014,38,,-,0,,1,,3,,15,,,-,0,,1,,2,,6,,,-,0,,1,,1,,7,,"UTAH
(39.36070082200047, -111.5871285339997)",
WYOMING,2014,38,,-,0,,1,,2,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,2,,"WYOMING
(43.235543013000495, -108.10982744299969)",
PACIFIC,2014,38,2,,2,,6,,73,,155,,2,,3,,6,,97,,106,,,-,2,,7,,75,,103,,,
ALASKA,2014,38,,-,0,,2,,8,,9,,,-,0,,1,,1,,3,,,-,0,,0,,,-,,-,"ALASKA
(64.84507631500048, -147.72205669099972)",
CALIFORNIA,2014,38,,-,0,,3,,4,,101,,,-,2,,5,,52,,73,,,-,1,,5,,49,,85,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
HAWAII,2014,38,,N,0,,0,,,N,,N,,-,0,,1,,3,,1,,,-,0,,1,,2,,1,,"HAWAII
(21.304853205000427, -157.85774691599974)",
OREGON,2014,38,,-,1,,4,,52,,36,,,-,0,,2,,13,,10,,,-,0,,3,,14,,9,,"OREGON
(44.56745218600048, -120.15502977999972)",
WASHINGTON,2014,38,2,,0,,4,,9,,9,,2,,0,,3,,28,,19,,,-,0,,5,,10,,8,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
AMER. SAMOA,2014,38,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,38,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
GUAM,2014,38,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"GUAM
(13.480998894000436, 144.73149801400064)",
PUERTO RICO,2014,38,,N,0,,0,,,N,,N,,-,0,,1,,1,,,-,,-,0,,1,,1,,1,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
VIRGIN ISL.,2014,38,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
UNITED STATES,2014,39,228,,432,,1544,,20967,,30177,,18,,25,,51,,1082,,1245,,4,,8,,24,,304,,429,,,
NEW ENGLAND,2014,39,9,,117,,458,,6032,,11038,,2,,2,,8,,67,,100,,,-,0,,3,,10,,18,,,
CONNECTICUT,2014,39,,-,18,,142,,1417,,2594,,,-,0,,2,,8,,18,,,-,0,,1,,1,,2,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
MAINE,2014,39,3,,15,,87,,927,,1128,,,-,0,,2,,4,,6,,,-,0,,1,,1,,2,,"MAINE
(45.2542257390005, -68.98502952999962)",
MASSACHUSETTS,2014,39,,-,35,,219,,2144,,4639,,,-,1,,3,,31,,62,,,-,0,,3,,7,,8,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
NEW HAMPSHIRE,2014,39,,-,7,,58,,550,,1493,,,-,0,,2,,6,,9,,,-,0,,0,,,-,2,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
RHODE ISLAND,2014,39,6,,7,,74,,529,,421,,2,,0,,8,,14,,,-,,-,0,,1,,1,,1,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
VERMONT,2014,39,,-,10,,48,,465,,763,,,-,0,,2,,4,,5,,,-,0,,1,,,-,3,,"VERMONT
(43.62538000100045, -72.51763944499965)",
MID. ATLANTIC,2014,39,154,,184,,847,,10993,,11525,,3,,8,,21,,308,,319,,,-,1,,3,,33,,64,,,
NEW JERSEY,2014,39,,-,40,,144,,1892,,3233,,,-,1,,5,,52,,75,,,-,0,,2,,7,,13,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
NEW YORK,2014,39,82,,48,,226,,2313,,2704,,,-,1,,4,,49,,45,,,-,0,,3,,6,,17,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
NEW YORK CITY,2014,39,16,,3,,441,,590,,624,,3,,3,,16,,152,,143,,,-,0,,2,,10,,15,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
PENNSYLVANIA,2014,39,56,,61,,566,,6198,,4964,,,-,1,,5,,55,,56,,,-,0,,2,,10,,19,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
E.N. CENTRAL,2014,39,1,,16,,114,,1267,,2329,,,-,2,,6,,89,,121,,,-,1,,4,,32,,46,,,
ILLINOIS,2014,39,,-,1,,19,,159,,319,,,-,1,,4,,32,,59,,,-,0,,2,,10,,9,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
INDIANA,2014,39,,-,0,,9,,49,,100,,,-,0,,3,,11,,16,,,-,0,,1,,3,,14,,"INDIANA
(39.76691072200049, -86.14995579899966)",
MICHIGAN,2014,39,,-,2,,11,,96,,140,,,-,0,,2,,12,,16,,,-,0,,2,,8,,3,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
OHIO,2014,39,1,,1,,10,,79,,84,,,-,1,,3,,30,,21,,,-,0,,2,,7,,9,,"OHIO
(40.06021184000048, -82.40425685299965)",
WISCONSIN,2014,39,,-,12,,87,,884,,1686,,,-,0,,2,,4,,9,,,-,0,,1,,4,,11,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
W.N. CENTRAL,2014,39,,-,6,,55,,187,,2417,,,-,1,,4,,46,,91,,,-,0,,3,,18,,32,,,
IOWA,2014,39,,-,1,,18,,141,,228,,,-,0,,2,,8,,10,,,-,0,,1,,1,,1,,"IOWA
(42.469401477000474, -93.81648936699969)",
KANSAS,2014,39,,-,0,,2,,13,,29,,,-,0,,2,,9,,7,,,-,0,,1,,1,,3,,"KANSAS
(38.3477418760005, -98.20077655499966)",
MINNESOTA,2014,39,,-,0,,48,,3,,2119,,,-,0,,3,,2,,55,,,-,0,,2,,5,,9,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
MISSOURI,2014,39,,-,0,,2,,7,,2,,,-,0,,1,,12,,5,,,-,0,,1,,7,,9,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
NEBRASKA,2014,39,,-,0,,4,,11,,8,,,-,0,,2,,6,,4,,,-,0,,1,,,-,3,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
NORTH DAKOTA,2014,39,,-,0,,2,,10,,27,,,-,0,,1,,6,,3,,,-,0,,1,,2,,3,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
SOUTH DAKOTA,2014,39,,-,0,,1,,2,,4,,,-,0,,1,,3,,7,,,-,0,,1,,2,,4,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
S. ATLANTIC,2014,39,60,,46,,309,,2243,,2499,,8,,7,,16,,324,,324,,2,,1,,6,,68,,79,,,
DELAWARE,2014,39,5,,8,,24,,342,,398,,,-,0,,1,,2,,9,,,-,0,,1,,1,,2,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
DIST. OF COL.,2014,39,,-,0,,4,,13,,27,,,-,0,,2,,3,,12,,,-,0,,0,,,-,,-,"DIST. OF COL.
",
FLORIDA,2014,39,6,,2,,13,,108,,104,,1,,1,,4,,42,,43,,2,,1,,3,,34,,45,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
GEORGIA,2014,39,,-,0,,3,,3,,6,,1,,1,,5,,71,,58,,,-,0,,2,,10,,10,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
MARYLAND,2014,39,20,,15,,60,,797,,971,,4,,2,,8,,116,,116,,,-,0,,1,,4,,3,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
NORTH CAROLINA,2014,39,,-,0,,27,,65,,119,,,-,0,,7,,25,,17,,,-,0,,3,,11,,10,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
SOUTH CAROLINA,2014,39,,-,1,,5,,23,,28,,1,,0,,1,,5,,8,,,-,0,,1,,2,,2,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
VIRGINIA,2014,39,29,,15,,267,,793,,723,,1,,1,,5,,58,,60,,,-,0,,2,,6,,5,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
WEST VIRGINIA,2014,39,,-,2,,13,,99,,123,,,-,0,,1,,2,,1,,,-,0,,0,,,-,2,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
E.S. CENTRAL,2014,39,,-,2,,11,,108,,70,,,-,1,,5,,36,,29,,,-,0,,2,,14,,9,,,
ALABAMA,2014,39,,-,0,,7,,49,,22,,,-,0,,3,,10,,2,,,-,0,,1,,5,,2,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
KENTUCKY,2014,39,,-,1,,5,,41,,34,,,-,0,,2,,9,,9,,,-,0,,1,,2,,1,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
MISSISSIPPI,2014,39,,-,0,,0,,,-,,-,,-,0,,1,,1,,3,,,-,0,,1,,1,,3,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
TENNESSEE,2014,39,,-,0,,4,,18,,14,,,-,0,,2,,16,,15,,,-,0,,1,,6,,3,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
W.S. CENTRAL,2014,39,1,,0,,13,,21,,57,,3,,1,,21,,73,,78,,1,,1,,6,,32,,44,,,
ARKANSAS,2014,39,,-,0,,0,,,-,,-,,-,0,,1,,2,,1,,,-,0,,1,,1,,5,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
LOUISIANA,2014,39,,-,0,,1,,2,,,-,,-,0,,1,,11,,8,,,-,0,,2,,6,,11,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
OKLAHOMA,2014,39,,-,0,,2,,,-,1,,,-,0,,2,,3,,10,,1,,0,,2,,8,,6,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
TEXAS,2014,39,1,,0,,11,,19,,56,,3,,1,,19,,57,,59,,,-,0,,5,,17,,22,,"TEXAS
(31.827240712000446, -99.4267664729997)",
MOUNTAIN,2014,39,,-,1,,7,,40,,82,,,-,1,,6,,39,,74,,,-,0,,3,,21,,31,,,
ARIZONA,2014,39,,-,0,,5,,16,,22,,,-,0,,3,,18,,28,,,-,0,,2,,9,,10,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
COLORADO,2014,39,,-,0,,0,,,-,,-,,-,0,,3,,7,,28,,,-,0,,1,,1,,6,,"COLORADO
(38.84384201300048, -106.13360888799969)",
IDAHO,2014,39,,-,0,,1,,7,,15,,,-,0,,1,,2,,4,,,-,0,,1,,2,,4,,"IDAHO
(43.68263160000049, -114.3637261449997)",
MONTANA,2014,39,,-,0,,2,,6,,12,,,-,0,,1,,2,,,-,,-,0,,1,,4,,,-,"MONTANA
(47.06652759400049, -109.42441687999968)",
NEVADA,2014,39,,-,0,,2,,6,,9,,,-,0,,2,,7,,7,,,-,0,,1,,2,,1,,"NEVADA
(39.493242807000456, -117.07183978499972)",
NEW MEXICO,2014,39,,-,0,,1,,,-,6,,,-,0,,1,,1,,1,,,-,0,,1,,2,,1,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
UTAH,2014,39,,-,0,,1,,3,,15,,,-,0,,1,,2,,6,,,-,0,,1,,1,,7,,"UTAH
(39.36070082200047, -111.5871285339997)",
WYOMING,2014,39,,-,0,,1,,2,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,2,,"WYOMING
(43.235543013000495, -108.10982744299969)",
PACIFIC,2014,39,3,,2,,5,,76,,160,,2,,3,,6,,100,,109,,1,,2,,7,,76,,106,,,
ALASKA,2014,39,,-,0,,2,,8,,11,,,-,0,,1,,1,,3,,,-,0,,0,,,-,,-,"ALASKA
(64.84507631500048, -147.72205669099972)",
CALIFORNIA,2014,39,,-,0,,2,,4,,102,,,-,1,,5,,53,,75,,,-,1,,5,,49,,87,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
HAWAII,2014,39,,N,0,,0,,,N,,N,,-,0,,1,,3,,1,,,-,0,,1,,2,,1,,"HAWAII
(21.304853205000427, -157.85774691599974)",
OREGON,2014,39,1,,1,,4,,53,,36,,,-,0,,2,,13,,10,,1,,0,,3,,15,,10,,"OREGON
(44.56745218600048, -120.15502977999972)",
WASHINGTON,2014,39,2,,0,,4,,11,,11,,2,,0,,3,,30,,20,,,-,0,,5,,10,,8,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
AMER. SAMOA,2014,39,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,39,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
GUAM,2014,39,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"GUAM
(13.480998894000436, 144.73149801400064)",
PUERTO RICO,2014,39,,N,0,,0,,,N,,N,,-,0,,1,,1,,,-,,-,0,,1,,1,,1,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
VIRGIN ISL.,2014,39,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
UNITED STATES,2014,40,194,,419,,1606,,22084,,30985,,22,,25,,51,,1127,,1270,,4,,8,,24,,313,,434,,,
NEW ENGLAND,2014,40,,-,114,,532,,6661,,11245,,,-,2,,8,,77,,102,,,-,0,,3,,11,,18,,,
CONNECTICUT,2014,40,,-,17,,142,,1417,,2632,,,-,0,,2,,8,,18,,,-,0,,1,,1,,2,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
MAINE,2014,40,,-,15,,87,,940,,1159,,,-,0,,2,,4,,7,,,-,0,,1,,1,,2,,"MAINE
(45.2542257390005, -68.98502952999962)",
MASSACHUSETTS,2014,40,,-,36,,269,,2713,,4725,,,-,1,,4,,41,,63,,,-,0,,3,,8,,8,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
NEW HAMPSHIRE,2014,40,,-,7,,58,,550,,1528,,,-,0,,2,,6,,9,,,-,0,,0,,,-,2,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
RHODE ISLAND,2014,40,,-,8,,80,,576,,421,,,-,0,,8,,14,,,-,,-,0,,1,,1,,1,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
VERMONT,2014,40,,-,9,,48,,465,,780,,,-,0,,2,,4,,5,,,-,0,,1,,,-,3,,"VERMONT
(43.62538000100045, -72.51763944499965)",
MID. ATLANTIC,2014,40,145,,179,,850,,11319,,11931,,12,,8,,21,,323,,327,,,-,1,,3,,35,,67,,,
NEW JERSEY,2014,40,,-,39,,149,,1995,,3330,,,-,1,,5,,54,,76,,,-,0,,2,,8,,14,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
NEW YORK,2014,40,58,,48,,226,,2358,,2911,,3,,1,,4,,52,,47,,,-,0,,3,,6,,17,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
NEW YORK CITY,2014,40,29,,3,,441,,619,,640,,8,,3,,16,,160,,146,,,-,0,,2,,10,,15,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
PENNSYLVANIA,2014,40,58,,61,,566,,6347,,5050,,1,,1,,5,,57,,58,,,-,0,,2,,11,,21,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
E.N. CENTRAL,2014,40,3,,14,,123,,1351,,2383,,,-,2,,6,,90,,124,,,-,1,,4,,33,,46,,,
ILLINOIS,2014,40,,-,1,,19,,163,,320,,,-,1,,4,,33,,59,,,-,0,,2,,11,,9,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
INDIANA,2014,40,,-,0,,9,,50,,102,,,-,0,,3,,11,,18,,,-,0,,1,,3,,14,,"INDIANA
(39.76691072200049, -86.14995579899966)",
MICHIGAN,2014,40,,-,2,,12,,102,,144,,,-,0,,2,,12,,16,,,-,0,,2,,8,,3,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
OHIO,2014,40,2,,1,,10,,84,,86,,,-,1,,3,,30,,22,,,-,0,,2,,7,,9,,"OHIO
(40.06021184000048, -82.40425685299965)",
WISCONSIN,2014,40,1,,12,,95,,952,,1731,,,-,0,,2,,4,,9,,,-,0,,1,,4,,11,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
W.N. CENTRAL,2014,40,,-,5,,55,,196,,2472,,,-,1,,4,,47,,91,,,-,0,,3,,19,,32,,,
IOWA,2014,40,,-,1,,18,,145,,233,,,-,0,,2,,8,,10,,,-,0,,1,,2,,1,,"IOWA
(42.469401477000474, -93.81648936699969)",
KANSAS,2014,40,,-,0,,2,,13,,30,,,-,0,,2,,9,,7,,,-,0,,1,,1,,3,,"KANSAS
(38.3477418760005, -98.20077655499966)",
MINNESOTA,2014,40,,-,0,,48,,3,,2167,,,-,0,,3,,2,,55,,,-,0,,2,,5,,9,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
MISSOURI,2014,40,,-,0,,2,,7,,2,,,-,0,,1,,12,,5,,,-,0,,1,,7,,9,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
NEBRASKA,2014,40,,-,0,,4,,16,,8,,,-,0,,2,,7,,4,,,-,0,,1,,,-,3,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
NORTH DAKOTA,2014,40,,-,0,,2,,10,,28,,,-,0,,1,,6,,3,,,-,0,,1,,2,,3,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
SOUTH DAKOTA,2014,40,,-,0,,1,,2,,4,,,-,0,,1,,3,,7,,,-,0,,1,,2,,4,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
S. ATLANTIC,2014,40,45,,46,,309,,2308,,2575,,2,,7,,16,,327,,330,,3,,1,,6,,71,,79,,,
DELAWARE,2014,40,4,,8,,24,,347,,409,,,-,0,,1,,2,,9,,,-,0,,1,,1,,2,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
DIST. OF COL.,2014,40,,-,0,,4,,13,,28,,,-,0,,2,,3,,12,,,-,0,,0,,,-,,-,"DIST. OF COL.
",
FLORIDA,2014,40,1,,2,,12,,108,,106,,,-,1,,4,,42,,44,,3,,1,,3,,37,,45,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
GEORGIA,2014,40,,-,0,,3,,3,,6,,1,,1,,5,,73,,58,,,-,0,,2,,10,,10,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
MARYLAND,2014,40,17,,15,,61,,829,,996,,1,,2,,8,,117,,117,,,-,0,,1,,4,,3,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
NORTH CAROLINA,2014,40,,-,0,,27,,65,,120,,,-,0,,7,,25,,17,,,-,0,,3,,11,,10,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
SOUTH CAROLINA,2014,40,,-,0,,5,,25,,30,,,-,0,,1,,5,,8,,,-,0,,1,,2,,2,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
VIRGINIA,2014,40,23,,15,,267,,819,,753,,,-,1,,5,,58,,64,,,-,0,,2,,6,,5,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
WEST VIRGINIA,2014,40,,-,2,,13,,99,,127,,,-,0,,1,,2,,1,,,-,0,,0,,,-,2,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
E.S. CENTRAL,2014,40,,-,2,,11,,109,,74,,,-,1,,5,,36,,29,,,-,0,,2,,14,,9,,,
ALABAMA,2014,40,,-,0,,7,,50,,23,,,-,0,,3,,10,,2,,,-,0,,1,,5,,2,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
KENTUCKY,2014,40,,-,1,,5,,42,,37,,,-,0,,2,,9,,9,,,-,0,,1,,2,,1,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
MISSISSIPPI,2014,40,,-,0,,0,,,-,,-,,-,0,,1,,1,,3,,,-,0,,1,,1,,3,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
TENNESSEE,2014,40,,-,0,,4,,17,,14,,,-,0,,2,,16,,15,,,-,0,,1,,6,,3,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
W.S. CENTRAL,2014,40,,-,0,,13,,23,,58,,5,,1,,21,,83,,79,,,-,1,,6,,32,,44,,,
ARKANSAS,2014,40,,-,0,,0,,,-,,-,,-,0,,1,,2,,1,,,-,0,,1,,1,,5,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
LOUISIANA,2014,40,,-,0,,1,,2,,,-,,-,0,,1,,11,,8,,,-,0,,2,,6,,11,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
OKLAHOMA,2014,40,,-,0,,2,,,-,1,,,-,0,,2,,3,,10,,,-,0,,2,,8,,6,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
TEXAS,2014,40,,-,0,,11,,21,,57,,5,,1,,19,,67,,60,,,-,0,,5,,17,,22,,"TEXAS
(31.827240712000446, -99.4267664729997)",
MOUNTAIN,2014,40,1,,1,,7,,41,,84,,1,,1,,6,,41,,74,,1,,0,,3,,22,,32,,,
ARIZONA,2014,40,,-,0,,5,,16,,24,,,-,0,,3,,18,,28,,,-,0,,2,,9,,10,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
COLORADO,2014,40,,-,0,,0,,,-,,-,,-,0,,3,,7,,28,,,-,0,,1,,1,,6,,"COLORADO
(38.84384201300048, -106.13360888799969)",
IDAHO,2014,40,,-,0,,1,,7,,15,,,-,0,,1,,2,,4,,1,,0,,1,,3,,4,,"IDAHO
(43.68263160000049, -114.3637261449997)",
MONTANA,2014,40,1,,0,,2,,7,,12,,,-,0,,1,,2,,,-,,-,0,,1,,4,,1,,"MONTANA
(47.06652759400049, -109.42441687999968)",
NEVADA,2014,40,,-,0,,2,,6,,9,,,-,0,,2,,7,,7,,,-,0,,1,,2,,1,,"NEVADA
(39.493242807000456, -117.07183978499972)",
